Nodes MaxError
2 7.625661e-02
3 4.613147e-03
4 6.087511e-04
5 1.418398e-04
6 2.608430e-05
7 5.988495e-06
8 1.263686e-06
9 2.929983e-07
10 6.610926e-08
11 1.557332e-08
12 3.646298e-09
13 8.723912e-10
14 2.089956e-10
15 5.067791e-11
16 1.233169e-11
17 3.023581e-12
18 7.439604e-13
19 1.839640e-13
20 4.585221e-14
21 1.143530e-14
22 3.330669e-15
23 1.110223e-15
24 7.771561e-16
25 4.440892e-16
26 5.551115e-16
27 5.551115e-16
28 5.551115e-16
29 5.551115e-16
30 5.551115e-16
31 5.551115e-16
32 4.440892e-16
33 7.771561e-16
34 5.551115e-16
35 5.551115e-16
36 4.440892e-16
37 5.551115e-16
38 1.665335e-15
39 1.110223e-15
40 7.216450e-15
41 7.505108e-14
42 5.151435e-14
43 7.146506e-13
44 3.882450e-13
45 2.652545e-12
46 1.302469e-11
47 7.905787e-12
48 4.121681e-11
49 3.542643e-10
50 2.542174e-09
51 6.945274e-09
52 2.560016e-09
53 5.635657e-08
54 3.906011e-08
55 1.045411e-07
56 1.053191e-06
57 3.165768e-06
58 2.818885e-06
59 7.771546e-06
60 7.680601e-05
61 3.731694e-04
62 5.272340e-04
63 4.845629e-03
64 2.688048e-02
65 2.670494e-02
66 1.565407e-02
67 3.004489e-01
68 2.094715e+00
69 4.903979e+00
70 1.420689e+00
71 1.822318e+01
72 5.967882e+01
73 2.907092e+02
74 6.525362e+02
75 1.540384e+03
76 4.934128e+03
77 3.604479e+04
78 1.347737e+05
79 3.073914e+05
80 1.126573e+06
